firstname;lastname;username;email;course1;group1;role1;idnumber;password
Heitor;Gomes Fernandes;39268366606;heitor_gomes25@outlook.com;jogos_digital;;5;39268366606;Mud@r123
Matheus;Moreira;17967169360;matheus_moreira39@outlook.com;jogos_digital;;5;17967169360;Mud@r123
Lorena;Nunes Machado;27060836462;lorena_nunes11@gmail.com;jogos_digital;;5;27060836462;Mud@r123
Matheus;Ferreira Nascimento;84114498400;matheus_ferreira11@hotmail.com;jogos_digital;;5;84114498400;Mud@r123
Larissa;Carneiro;47121461765;larissa_carneiro57@hotmail.com;jogos_digital;;5;47121461765;Mud@r123
Laura;Almeida Ribeiro;65015837992;laura_almeida27@yahoo.com.br;jogos_digital;;5;65015837992;Mud@r123
Gabriel;Fernandes;12254772473;gabriel_fernandes72@hotmail.com;jogos_digital;;5;12254772473;Mud@r123
Sarah;Oliveira;59941192103;sarah_oliveira47@yahoo.com.br;jogos_digital;;5;59941192103;Mud@r123
Sarah;Dias Cardoso;67567092328;sarah_dias66@yahoo.com.br;jogos_digital;;5;67567092328;Mud@r123
Isabella;Martins;39580013276;isabella_martins57@outlook.com;jogos_digital;;5;39580013276;Mud@r123
Valentina;Carneiro;98491828575;valentina_carneiro54@outlook.com;jogos_digital;;5;98491828575;Mud@r123
Lorenzo;Oliveira Pereira;29902614515;lorenzo_oliveira14@outlook.com;jogos_digital;;5;29902614515;Mud@r123
Amanda;Rocha Mendes;25881066928;amanda_rocha92@hotmail.com;jogos_digital;;5;25881066928;Mud@r123
Thiago;Freitas Rocha;40423855751;thiago_freitas80@outlook.com;jogos_digital;;5;40423855751;Mud@r123
Arthur;Oliveira;15393665105;arthur_oliveira10@outlook.com;jogos_digital;;5;15393665105;Mud@r123
Fernanda;Castro;56059646077;fernanda_castro22@gmail.com;jogos_digital;;5;56059646077;Mud@r123
Isabella;Carneiro;34606907983;isabella_carneiro58@yahoo.com.br;jogos_digital;;5;34606907983;Mud@r123
Giovanna;Carneiro;04375522682;giovanna_carneiro84@gmail.com;jogos_digital;;5;04375522682;Mud@r123
Alice;Nascimento;45158511608;alice_nascimento44@hotmail.com;jogos_digital;;5;45158511608;Mud@r123
Lorena;Campos Lima;51974848027;lorena_campos49@outlook.com;jogos_digital;;5;51974848027;Mud@r123
Gustavo;Souza;93463228297;gustavo_souza83@outlook.com;jogos_digital;;5;93463228297;Mud@r123
Sophia;Costa Vieira;93626113256;sophia_costa92@hotmail.com;jogos_digital;;5;93626113256;Mud@r123
Davi;Costa;74076410300;davi_costa20@yahoo.com.br;jogos_digital;;5;74076410300;Mud@r123
